State,Latitude,Longitude,Number_of_incidents,
NSW,-31.840233,145.612793,437,
NT,-19.491411,132.550964,19,
QLD,-20.917574,142.702789,370,
SA,-30.000233,136.209152,73,
TAS,-41.640079,146.315918,26,
VIC,-37.0201,144.9646,70,
WA,-25.042261,117.793221,195,
