UIN,Incident_month,Incident_year,Victim_injury,State,Location,Latitude,Longitude,Site_category,Shark_common_name,Provoked_unprovoked,No_sharks,Victim_activity,Shark_behaviour,Victim_aware_of_shark,Injury_location,Injury_severity,Victim_gender,Time_of_incident,Depth_of_incident_m,Data_source,Reference,
441,10,1951,fatal,QLD,"townsville, kissing point",-19.23333333,146.8,coastal,tiger shark,unprovoked,1,swimming,bit victim on leg,N,"hand, torso, thigh",major lacerations,male,1900,,media outlet,"sharpe,shark&survl.,baldridge, canberra times 23.10.1951",
442,12,1951,fatal,NSW,"merewether beach, newcastle",-32.93333333,151.75,coastal,white shark,unprovoked,1,swimming,bit victim ,N,"arm, leg, torso",major lacerations,male,1600,0,media outlet,"sharpe,baldridge,coppleson, smh 7.12.1951",
443,12,1951,uninjured,NSW,"terrigal, central coast",-33.36666667,151.4333333,coastal,white shark,unprovoked,1,boarding,bumped ski from below,Y,other: uninjured,,male,,0,media outlet,smh 31.12.1951,
444,1,1952,injured,NSW,evan's head,-29.1,153.4333333,coastal,wobbegong,unprovoked,1,boarding,bit victim on leg,,"calf, foot",minor lacerations,male,,1,media outlet,the canberra times 8.1.1952,
445,2,1952,uninjured,QLD,"townsville, ross creek",-19.25,146.8166667,estuary/harbour,bull shark,provoked,1,,bit victims trouser leg,N,other: uninjured,,male,,,media outlet,townsville bulletin 19.2.1952,
446,5,1952,injured,WA,boyup brook (area),-35.06666667,117.05,coastal,wobbegong,provoked,1,fishing,bit fish & fingers,N,"arm, hand",abrasion,male,,0,book,the west australian 7.5.1952,
447,11,1952,injured,VIC,"somers beach, westernport",-38.38333333,145.15,coastal,white shark,unprovoked,1,swimming,grazed by close pass,N,torso,abrasion,male,,,media outlet,"p. coutin vic saf, cairns post 25.11.1952",
448,12,1952,injured,SA,cape douglas,-38.01666667,140.5666667,coastal,white shark,provoked,1,fishing,bit victim on leg,Y,thigh,major lacerations,male,,0,media outlet,"green,shark&survl,whitley, smh 22.12.1952 ",
449,2,1953,injured,NSW,sydney,-33.86666667,151.2,coastal,wobbegong,provoked,1,spearfishing,bit victim on leg - knee,N,leg,major lacerations,male,,,book,baldridge.,
450,2,1953,injured,NSW,"shellharbour, wollongong",-34.56666667,150.8666667,coastal,wobbegong,provoked,1,spearfishing,bit victims face mask,Y,head,other: teeth marks,male,,10,media outlet,"green,whitley, coppleson/goadby 1988, smh 16.2.1953",
451,2,1953,injured,NSW,"collaroy beach, sydney",-33.71666667,151.3,coastal,wobbegong,provoked,1,spearfishing,bit victim on foot,,foot,minor lacerations,male,,,book,skindiver magazine 1.3.1965,
452,3,1953,injured,NSW,"long reef, sydney",-33.73333333,151.3,coastal,tiger shark,provoked,1,spearfishing,bit victim on arm,N,arm,minor lacerations,male,,0,media outlet,"green,whitley, smh 23.3.1953",
453,12,1953,uninjured,NSW,"maroubra beach, sydney",-33.93333333,151.25,coastal,white shark,unprovoked,1,swimming,swam towards victim,N,other: uninjured,,male,,0,media outlet,"coppleson 1988ed. p. 61, goulburn evening press 30.12.1953",
454,12,1953,injured,NSW,"maroubra beach, sydney",-33.93333333,151.25,coastal,white shark,unprovoked,1,swimming,bumped & grazed victim,,"arm, leg",abrasion,male,,0,media outlet,goulburn evening press 23.12.1953,
455,12,1953,injured,QLD,"palm beach, gold coast",-28.11666667,153.4666667,coastal,white shark,unprovoked,1,swimming,bumped into victim,Y,torso,surface wound,male,1200,0,media outlet,"green,shark&survl.,baldridge, canberra times 14.12.1953",
456,1,1954,injured,SA,port macdonnell,-38.05,140.7,coastal,wobbegong,provoked,1,,bit victim on hand,,"arm, hand",minor lacerations,male,,,media outlet,border wath (sa) 21.1.1954,
457,1,1954,injured,QLD,"torres strait, naghir island",-10.23333333,142.4833333,island open ocean,tiger shark,provoked,1,spearfishing,bit victim on arm,,arm,major lacerations,female,,,media outlet,cairns post 25.1.1954,
458,1,1954,injured,NSW,avoca beach,-33.45,151.4333333,coastal,whaler shark,unprovoked,1,swimming,chasing bait fish,,arm,minor lacerations,male,,0,media outlet,sun herald 31.1.1954,
459,2,1954,fatal,NSW,"the entrance, gosford",-33.33333333,151.5,coastal,white shark,unprovoked,1,swimming,bit victim on leg,N,thigh,major lacerations,male,1715,,media outlet,"coppleson,shark&survl,baldridge, smh 1.3.1954",
460,6,1954,injured,QLD,"cairns,  fitzroy island",-16.91666667,145.99445,island open ocean,tiger shark,provoked,1,snorkelling,bit victim on shoulder,N,"arm, shoulder",major lacerations,male,,0,media outlet,"green,shark&survl,baldridge, courier mail 30.6.1954",
461,9,1954,fatal,QLD,"torres strait, darnley (erub) island",-9.583333333,143.7666667,island open ocean,tiger shark,provoked,1,spearfishing,bit victim,N,,major lacerations,male,,,media outlet,"green,shark&survl,baldridge, personal comm, smh 6.9.1954",
462,1,1955,fatal,NSW,"balmoral beach, wyargine point",-33.81666667,151.25,estuary/harbour,bull shark,provoked,1,spearfishing,bit victim ,N,"leg, hand",major lacerations,male,1500,2,media outlet,"green,questionnaire(campbell),sharpe, smh 18.1.1955",
463,2,1955,fatal,NSW,"sugarloaf bay, sydney harbour",-33.78333333,151.2166667,estuary/harbour,bull shark,unprovoked,1,swimming,bit victim on leg,N,leg,major lacerations,male,1400,5,media outlet,"baldridge, sharpe, coppleson, whitley, smh 6.2.1955",
464,3,1955,fatal,NSW,"wamberal beach, gosford.",-33.41666667,151.45,coastal,white shark,unprovoked,1,swimming,bit victim on body,,other: body not recovered,,male,1800,0,media outlet,"coppleson,sharpe,baldridge, smh 10.3.1955",
465,10,1955,injured,QLD,tully (5 miles off),-17.93333333,145.9333333,island open ocean,wobbegong,provoked,1,spearfishing,captured shark bit victim,N,"arm, hand",minor lacerations,male,1500,1.7,media outlet,"green,shark&survl,baldridge, courier mail 17.10.1955",
466,1,1956,injured,QLD,innisfail (off shore reef),-17.71666667,146.4,island open ocean,tiger shark,provoked,1,snorkelling,swam between legs of victim,N,leg,minor lacerations,male,,3,media outlet,"green, shark&survl. coppleson 1958, courier mail 16.1.1956",
467,2,1956,fatal,QLD,"mackay, rocklea reach, pioneer river",-21.11666667,149.15,river,bull shark,unprovoked,1,swimming,bit victim on leg,N,leg,major lacerations,male,1100,,government report,"green,baldridge xref codes, newspaper 26.2.1956",
468,2,1956,injured,VIC,"cowes jetty, phillip island",-38.43333333,145.2333333,coastal,wobbegong,unprovoked,1,swimming,bit leg,,leg,minor lacerations,male,,,media outlet,the argus 10.2.1956,
469,2,1956,uninjured,VIC,"port phillip bay, black rock beach",-37.96666667,145,coastal,bronze whaler shark,provoked,1,spearfishing,swam towards victim,Y,other: uninjured,,male,,1.3,media outlet,the argus 20.2.1956,
470,3,1956,uninjured,WA,"woodmans point, perth",-32.13333333,115.7333333,coastal,whaler shark,unprovoked,1,diving,tore wetsuit,N,other: uninjured,,male,2155,3,media outlet,"baldridge, brown, coppleson, whitley, west australian 19.3.1958",
471,3,1956,fatal,VIC,portsea beach,-38.33333333,144.7,coastal,white shark,unprovoked,1,swimming,bit victim on body,N,torso,major lacerations,male,1700,0,media outlet,"coppleson,shark&survl,baldridge, the sun 8.3.1956",
472,5,1956,injured,QLD,torres strait,-10.58333333,142.2166667,island open ocean,tiger shark,provoked,1,snorkelling,,N,,major lacerations,male,,,book,"shark&survl,baldridge xref codes",
473,8,1956,injured,QLD,"southport, surfers paradise",-28,153.4166667,coastal,wobbegong,provoked,1,diving,bit  victim on arm,Y,arm,other: teeth marks,male,,,media outlet,the central queensland herald 16.8.1956,
474,1,1957,uninjured,NSW,"byron bay, sharkey's beach ",-28.63333333,153.6166667,coastal,white shark,unprovoked,1,boarding,bit surfboard,N,other: uninjured,,male,,,media outlet,byron shire news 30.10.03,
475,2,1957,fatal,WA,cape leveque,-16.38333333,122.9166667,coastal,tiger shark,unprovoked,1,swimming,,N,,,male,,,book,"green,baldridge xref codes",
476,4,1957,injured,NSW,"merewether beach, newcastle",-32.93333333,151.75,coastal,wobbegong,unprovoked,1,swimming,bit victim on foot,N,foot,minor lacerations,male,,0,media outlet,"green,shark&survl,baldridge, advocate 24.4.1957",
477,4,1957,injured,QLD,"torres strait, hervey island harbour",-10.56666667,142.2166667,estuary/harbour,tiger shark,provoked,1,swimming,bit victim on arm,Y,"arm, shoulder",major lacerations,male,1400,,media outlet,"green,shark&survl,baldridge, cairns post 16.4.1957",
478,5,1957,injured,NSW,"port stephens, mount yakaba head",-32.68333333,152.1833333,coastal,white shark,provoked,1,spearfishing,bit victim on leg - thigh,N,thigh,minor lacerations,male,,3,media outlet,"green,sharks&suvl,baldridge, miners advocate 13.5.1957",
479,7,1957,injured,QLD,torres strait,-10.58333333,142.2166667,island open ocean,tiger shark,provoked,1,snorkelling,bit  victim on arm,Y,arm,major lacerations,male,,,media outlet,smh 11.7.1957,
480,1,1958,injured,NSW,brunswick heads,-28.53333333,153.55,coastal,wobbegong,unprovoked,1,swimming,bit foot,N,foot,other: teeth marks,male,,1,media outlet,"green, shark&survl, smh 20.1.1958",
481,1,1958,injured,NSW,"swan lake, sussex inlet",-35.2,150.55,coastal,white shark,provoked,1,spearfishing,bit victim on leg,,leg,minor lacerations,male,,1,media outlet,"green, shark&survl, smh 28.1.1958",
482,2,1958,uninjured,NSW,"lake macquarie, speers point",-33.05,151.6333333,estuary/harbour,bull shark,provoked,1,fishing,swam past victim,,other: uninjured,,male,,1,media outlet,smh 10.2.1958,
483,3,1958,fatal,QLD,"torres strait, umaga (york) island",-9.75,143.4,island open ocean,tiger shark,provoked,1,spearfishing,bit victim on leg,,leg,major lacerations,male,,,media outlet,courier mail 12.3.1958,
484,3,1958,uninjured,VIC,"port phillip bay, mornington, marina cove",-38.21666667,145.0166667,coastal,bronze whaler shark,provoked,1,spearfishing,bit half of victims flipper off,,other: uninjured,,male,,7,media outlet,smh 24.3.1958,
